time,temperature_2m_max,temperature_2m_min,precipitation_sum,relative_humidity_2m_max,latitude,longitude
2020-08-30,27.9,26.5,1.9,91,14.7167,-17.4677
2020-08-31,28.1,27.2,0.1,83,14.7167,-17.4677
2020-09-01,27.6,26.2,2.2,88,14.7167,-17.4677
2020-09-02,27.4,25.6,9.5,90,14.7167,-17.4677
2020-09-03,27.2,25.6,11.3,89,14.7167,-17.4677
2020-09-04,27.4,25.7,12.0,90,14.7167,-17.4677
2020-09-05,26.9,25.1,57.3,92,14.7167,-17.4677
2020-09-06,26.1,25.0,34.6,90,14.7167,-17.4677
2020-09-07,26.9,26.1,6.5,87,14.7167,-17.4677
2020-09-08,27.2,25.8,7.4,89,14.7167,-17.4677
2020-09-09,27.8,27.0,0.1,85,14.7167,-17.4677
2020-09-10,28.3,26.6,3.6,92,14.7167,-17.4677
2020-09-11,27.9,25.5,3.6,93,14.7167,-17.4677
2020-09-12,27.4,25.9,3.1,87,14.7167,-17.4677
2020-09-13,27.8,26.6,0.3,87,14.7167,-17.4677
2020-09-14,28.1,27.3,0.2,85,14.7167,-17.4677
2020-09-15,28.0,27.0,0.0,90,14.7167,-17.4677
2020-09-16,27.8,26.1,1.0,88,14.7167,-17.4677
2020-09-17,28.0,27.1,0.1,86,14.7167,-17.4677
2020-09-18,28.0,27.2,0.7,87,14.7167,-17.4677
2020-09-19,27.7,25.9,2.3,89,14.7167,-17.4677
2020-09-20,27.7,25.1,12.0,90,14.7167,-17.4677
2020-09-21,28.1,25.4,3.3,91,14.7167,-17.4677
2020-09-22,28.4,27.0,0.0,88,14.7167,-17.4677
2020-09-23,28.4,27.7,0.0,84,14.7167,-17.4677
2020-09-24,28.3,27.1,0.0,81,14.7167,-17.4677
2020-09-25,28.2,26.9,0.0,84,14.7167,-17.4677
2020-09-26,28.4,27.7,0.4,86,14.7167,-17.4677
2020-09-27,28.3,27.6,0.0,83,14.7167,-17.4677
2020-09-28,28.3,27.5,0.0,82,14.7167,-17.4677
2020-09-29,28.1,27.5,0.0,81,14.7167,-17.4677
2020-09-30,28.5,27.7,0.0,84,14.7167,-17.4677
2020-10-01,28.6,28.1,0.0,83,14.7167,-17.4677
2020-10-02,29.8,27.9,0.0,83,14.7167,-17.4677
2020-10-03,28.9,27.7,0.0,82,14.7167,-17.4677
2020-10-04,27.9,26.0,0.2,88,14.7167,-17.4677
2020-10-05,27.6,25.6,2.0,88,14.7167,-17.4677
2020-10-06,28.0,26.6,0.7,85,14.7167,-17.4677
2020-10-07,28.3,27.7,0.5,86,14.7167,-17.4677
2020-10-08,28.2,27.9,0.0,86,14.7167,-17.4677
2020-10-09,28.2,27.5,0.0,90,14.7167,-17.4677
2020-10-10,28.1,27.5,0.0,88,14.7167,-17.4677
2020-10-11,27.8,27.3,0.0,84,14.7167,-17.4677
2020-10-12,28.1,26.9,0.8,84,14.7167,-17.4677
2020-10-13,28.0,24.8,8.4,90,14.7167,-17.4677
2020-10-14,28.2,27.2,0.0,85,14.7167,-17.4677
2020-10-15,28.3,27.5,0.0,88,14.7167,-17.4677
2020-10-16,28.3,27.4,0.0,87,14.7167,-17.4677
